A�o;Mes;Dia;Fecha;city_code;product_type;product;destinated_area
1974;1;1;1/01/1974;960b4f2c94a2fb2c;temporary;Others;0
1974;1;1;1/01/1974;746cc42bfb8f6b62;temporary;Others;0
1974;1;1;1/01/1974;6cce2bf873870afc;temporary;Others;0
1974;1;1;1/01/1974;4de42e351006a2ae;temporary;Others;0
1974;1;1;1/01/1974;5b6072f8f6d37acc;temporary;Others;0
1974;1;1;1/01/1974;eac302b92f87d9ca;temporary;Others;0
1974;1;1;1/01/1974;ab984377b2dc0284;temporary;Others;0
1974;1;1;1/01/1974;074590cfc1c41ebf;temporary;Others;0
1974;1;1;1/01/1974;0307883b5d063703;temporary;Others;0
1974;1;1;1/01/1974;062ce4c17e84291e;temporary;Others;0
1974;1;1;1/01/1974;8910840651ee3971;temporary;Others;0
1974;1;1;1/01/1974;4c4428f2e4550a5a;temporary;Others;0
1974;1;1;1/01/1974;86d92d4b0a058014;temporary;Others;0
1974;1;1;1/01/1974;13804a196311e1ba;temporary;Others;0
1974;1;1;1/01/1974;f67358b81451a8d1;temporary;Others;0
1974;1;1;1/01/1974;68f01d67ad163f32;temporary;Others;0
1974;1;1;1/01/1974;71975b563db10671;temporary;Others;0
1974;1;1;1/01/1974;df19203419d2ea64;temporary;Others;0
1974;1;1;1/01/1974;773cbe24d8fc9fea;temporary;Others;0
1974;1;1;1/01/1974;10973d6049af898b;temporary;Others;0
1974;1;1;1/01/1974;cf96db4cc35ea025;temporary;Others;0
1974;1;1;1/01/1974;4b530007d167bd54;temporary;Others;0
1974;1;1;1/01/1974;a4d1e1ff1bc3b830;temporary;Others;0
1974;1;1;1/01/1974;0dcbfaab30eb40c1;temporary;Others;0
1974;1;1;1/01/1974;47564ef7b8c69829;temporary;Others;0
1974;1;1;1/01/1974;1096f26c5a236d0b;temporary;Others;0
1974;1;1;1/01/1974;8ef25b4985bc557a;temporary;Others;0
1974;1;1;1/01/1974;9d8776ac0a78d908;temporary;Others;0
